Andorra;1900.8362104
Belgium;1817.25507155
Holy_See;1717.79141104
French_Polynesia;1603.3800598
Czechia;1594.40552874
Georgia;1507.79556051
Luxembourg;1458.72088667
Serbia;1453.56735237
Montenegro;1376.28539559
Switzerland;1262.05932757
Croatia;1208.80830058
Lithuania;1205.93346752
Liechtenstein;1143.88451717
San_Marino;1143.58691551
Slovenia;1126.57551415
Austria;1084.41629909
Aruba;1058.225943
Armenia;1049.21750749
France;988.18013844
Israel;981.9032457
Belize;909.95027552
Poland;890.92164152
Qatar;885.92411702
United_States_of_America;873.21159186
Guam;862.54819331
Curaçao;848.71774475
Portugal;803.74699184
Italy;801.28004939
Jersey;789.45415414
Hungary;779.67770811
Netherlands;762.41035338
Sweden;747.0637139
Jordan;733.61931169
North_Macedonia;721.33114313
Bulgaria;666.56771484
Panama;665.92251392
Bosnia_and_Herzegovina;661.92103115
Palestine;648.12818508
Slovakia;612.87008838
Romania;602.89604788
Spain;602.71776715
Turks_and_Caicos_islands;602.18882547
Bahrain;596.16223607
Gibraltar;593.36616626
Monaco;580.3234094
Chile;575.15195598
Azerbaijan;574.05068752
Kosovo;565.08012762
Puerto_Rico;564.63412472
Cyprus;538.64657911
Turkey;533.34914072
Denmark;523.69231501
Sint_Maarten;516.64346882
United_Kingdom;505.42325075
Moldova;497.7174348
Ukraine;456.06816421
Estonia;454.02394288
Latvia;453.13255221
Argentina;445.66992347
United_States_Virgin_Islands;431.25292841
Oman;428.94541338
Albania;382.61237754
Malta;379.6911818
Bahamas;365.09656316
Maldives;362.3645606
Peru;362.04345543
Kyrgyzstan;354.20086907
Germany;341.13669567
"Bonaire, Saint Eustatius and Saba";338.68298503
Lebanon;338.27281759
Costa_Rica;335.01328662
Greece;331.55552016
Falkland_Islands_(Malvinas);326.21589561
Faroe_Islands;322.53425643
Iceland;317.65506693
Colombia;310.81790079
Kuwait;305.22379315
Brazil;304.320523
Ireland;300.0668809
South_Africa;292.5445181
Bermuda;287.96314072
Guernsey;269.9013464
Belarus;267.51910545
Russia;263.66356427
Cape_Verde;256.2116319
Isle_of_Man;251.80579035
Iran;243.14381186
Canada;241.81365938
Djibouti;232.2411528
Suriname;218.45215468
Kazakhstan;215.27183783
Tunisia;213.96833665
Singapore;207.62039735
Libya;197.74390173
Morocco;197.5199117
Bolivia;195.95935135
United_Arab_Emirates;194.62616445
Dominican_Republic;185.26938882
Nepal;182.92328055
Paraguay;167.24774683
Saudi_Arabia;162.60400322
Montserrat;160.28851933
Norway;156.31885518
Iraq;154.60525621
British_Virgin_Islands;139.84616921
Equatorial_Guinea;130.16396973
Namibia;129.40344531
Ecuador;125.20680016
Guyana;120.85209671
Sao_Tome_and_Principe;119.97321528
Trinidad_and_Tobago;119.57254964
Mexico;118.19272958
Honduras;117.84182723
Finland;116.42070135
Uruguay;115.3180302
Botswana;108.91160883
Eswatini;100.0755139
Western_Sahara;94.94246795
India;94.17383478
Seychelles;91.05697711
Guatemala;90.89111745
El_Salvador;90.44634349
Cayman_Islands;86.22282441
Gabon;80.36535397
Jamaica;79.36839042
Gambia;63.42388452
Malaysia;59.68740513
Mauritania;56.94149278
Philippines;55.83230301
Venezuela;55.06064719
Saint_Lucia;53.06490878
Dominica;48.74108734
Antigua_and_Barbuda;45.30711013
Sri_Lanka;43.64151232
Anguilla;40.34427111
Guinea_Bissau;38.88767708
Myanmar;38.02727269
Pakistan;35.87047136
Algeria;33.91164771
Ghana;32.72419774
Bangladesh;31.39110784
Indonesia;30.9032147
Uzbekistan;30.45930146
Central_African_Republic;28.97677833
Tajikistan;28.49472638
Kenya;28.31058954
Australia;26.77437786
Northern_Mariana_Islands;26.21781763
Afghanistan;25.98986161
Japan;25.92852158
Grenada;24.99955358
Congo;24.04979162
Brunei_Darussalam;23.77127876
Haiti;22.17866003
Egypt;21.36807563
Saint_Kitts_and_Nevis;20.81992656
Saint_Vincent_and_the_Grenadines;20.7969763
Zambia;20.48033725
Ethiopia;18.95631809
Mauritius;18.35122512
South_Korea;18.12189718
Lesotho;18.02126509
Madagascar;17.65340198
Greenland;17.64913519
New_Zealand;16.91385142
Nicaragua;16.6984875
Uganda;16.68639918
Zimbabwe;16.39414446
Barbados;15.67829532
Cameroon;15.3035275
Cote_dIvoire;15.27809675
Rwanda;12.46541323
Comoros;12.45752981
Senegal;11.70813461
Mongolia;11.37925924
Angola;11.08552036
Bhutan;10.87677272
Cuba;10.49986041
Sudan;9.99924393
Guinea;9.83459249
Mozambique;9.36243158
South_Sudan;8.84098645
Syria;8.01985597
Malawi;7.52600188
Liberia;6.27864124
Benin;6.0333098
Mali;5.87546367
Burkina_Faso;5.77716586
New_Caledonia;5.65856902
Sierra_Leone;5.32431817
Marshall_Islands;5.10282186
Somalia;4.79184423
Togo;4.39228201
Nigeria;4.35352465
Eritrea;3.83172768
China;3.81856763
Niger;3.183085
Papua_New_Guinea;2.65493209
Chad;2.52086897
Democratic_Republic_of_the_Congo;2.42192216
Thailand;2.38848994
Yemen;1.7111355
Timor_Leste;1.70131156
Solomon_Islands;1.49293617
Fiji;1.23601755
Burundi;1.18814522
Taiwan;1.03895531
United_Republic_of_Tanzania;0.67579844
Cambodia;0.58835867
Vietnam;0.44888092
Vanuatu;0.3334645
Laos;0.23711701
Wallis_and_Futuna;0.0
Cases_on_an_international_conveyance_Japan;0.0
